Worker ID,Problem,Age,Gender,Strong hand,Education,Answer,Confidence,Subjective Difficulty,Objective Difficutly,Psolve,"BFRP, AUIE, GNDC","BFGP, AUIE, RNDC","AERP, BGCD, FUIN","CNRP, AGDS, EIOT","BNPR, ACDF, EIUG","ANPR, BCDF, EIUG",Class,EAAA,EAMA,arrogance,bs,cad,cadg,chisqr,ec,psma
AB2GND2ZHOCOT,LettersDice,29,Female,Right,Graduate Degree,"BNPR, ACDF, EIUG",10,2,3,0.8,0.2,0.0,0.0,0.0,0.8,0.0,Solver,0.12222222222222222,-0.3666666666666667,0.10975609756097562,0.028518518518518526,0.4666666666666667,0.2461538461538461,0.20926640926640927,0.4966666666666666,0.8
A3PDTUA1YLJTMC,LettersDice,43,Male,Right,College,"BNPR, ACDF, EIUG",10,7,7,0.65,0.2,0.0,0.0,0.0,0.6,0.2,Solver,0.07777777777777778,-0.16666666666666666,0.14062500000000006,0.008518518518518517,0.4666666666666667,0.2461538461538461,0.10820276497695852,0.2966666666666666,0.6
A2O2Y99RA9GFUJ,LettersDice,64,Male,Right,College,"BFRP, AUIE, GNDC",5,5,8,0.5,0.4,0.2,0.1,0.1,0.1,0.1,Non-Solver,0.12222222222222225,-0.13333333333333336,0.08695652173913045,0.026296296296296304,-0.033333333333333326,0.08750000000000002,0.20321428571428574,0.21833333333333332,0.4
AFM65NU0UXIGP,LettersDice,31,Male,Right,High School/GED,"BNPR, ACDF, EIUG",10,2,6,0.45,0.2,0.2,0.0,0.0,0.6,0.0,Solver,0.1,-0.16666666666666666,0.14062500000000006,0.012962962962962964,0.4666666666666667,0.2461538461538461,0.16820276497695852,0.2966666666666666,0.6
A1TLNLB9D87H6,LettersDice,35,Female,Left,College,"BFRP, AUIE, GNDC",1,10,10,0.05,0.15,0.15,0.2,0.2,0.15,0.15,Non-Solver,0.13333333333333333,0.11666666666666667,0.0,0.025185185185185185,-0.43333333333333335,-0.3125,0.2183253609135962,-0.03166666666666668,0.15
200600666,LettersDice,31,Male,Left,Graduate Degree,"ANPR, BCDF, EIUG",5,7,5,0.3,0.05,0.2,0.2,0.25,0.1,0.2,Non-Solver,0.18333333333333332,-0.06666666666666668,0.14285714285714288,0.04046296296296297,-0.033333333333333326,0.225,0.3504323308270677,0.07833333333333338,0.2
A2EEP8D4MRUIRZ,LettersDice,30,Male,Right,High School/GED,"BFRP, AUIE, GNDC",8,5,5,0.9,0.2,0.2,0.2,0.0,0.2,0.2,Non-Solver,0.13333333333333333,0.06666666666666665,0.25,0.02185185185185186,0.2666666666666667,0.3875000000000001,0.2377443609022557,0.01833333333333334,0.2
A3DHAM13WLSE9V,LettersDice,23,Male,Right,High School/GED,"ANPR, BCDF, EIUG",1,10,10,0.05,0.2,0.2,0.15,0.15,0.15,0.15,Non-Solver,0.11666666666666665,-0.016666666666666663,0.0,0.021296296296296296,-0.43333333333333335,-0.17500000000000002,0.18739495798319328,0.02833333333333335,0.15
A1SIUJEL2LS8UO,LettersDice,31,Male,Right,College,"BNPR, ACDF, EIUG",8,2,6,0.25,0.15,0.15,0.25,0.15,0.15,0.15,Solver,0.13333333333333333,0.2833333333333333,0.297872340425532,0.027685185185185184,0.2666666666666667,0.0461538461538461,0.23165869424692956,-0.1533333333333334,0.15
AG9LWKO86TNHG,LettersDice,48,Female,Left,College,"BFGP, AUIE, RNDC",1,10,10,0.2,0.2,0.2,0.1,0.2,0.1,0.2,Non-Solver,0.13333333333333333,-0.13333333333333336,0.0,0.026296296296296304,-0.43333333333333335,-0.2,0.21559523809523812,0.06333333333333335,0.2
AHYTT3T8W9Y9Y,LettersDice,37,Female,Right,College,"ANPR, BCDF, EIUG",4,7,6,0.7,0.25,0.1,0.2,0.15,0.1,0.2,Non-Solver,0.11666666666666665,-0.06666666666666668,0.10714285714285716,0.02657407407407408,-0.1333333333333333,0.125,0.21943548387096776,0.07833333333333338,0.2
A1ZT30BGR3266K,LettersDice,35,Female,Right,College,"BNPR, ACDF, EIUG",9,4,5,0.55,0.1,0.1,0.05,0.1,0.55,0.1,Solver,0.06666666666666668,-0.1166666666666667,0.13445378151260504,0.0076851851851851855,0.3666666666666667,0.14615384615384608,0.07551397754787585,0.24666666666666665,0.55
A1NKBXOTZAI1YK,LettersDice,33,Male,Right,College,"BNPR, ACDF, EIUG",1,10,10,0.2,0.15,0.15,0.2,0.2,0.15,0.15,Solver,0.13333333333333333,0.2833333333333333,0.0,0.025185185185185185,-0.43333333333333335,-0.653846153846154,0.2183253609135962,-0.1533333333333334,0.15
A2TTBCUOTC4Y24,LettersDice,32,Male,Right,Graduate Degree,"CNRP, AGDS, EIOT",9,5,8,0.3,0.15,0.1,0.2,0.2,0.2,0.15,Non-Solver,0.11666666666666665,-0.1,0.2857142857142857,0.01990740740740741,0.3666666666666667,0.5,0.1798059855521156,0.07333333333333336,0.2
A10249252O9I20MRSOBVF,LettersDice,56,Female,Both hands are equally strong,High School/GED,"BFRP, AUIE, GNDC",1,10,8,0.15,0.2,0.2,0.15,0.15,0.15,0.15,Non-Solver,0.11666666666666665,0.06666666666666665,0.0,0.021296296296296296,-0.43333333333333335,-0.3125,0.18739495798319328,0.01833333333333334,0.2
A1UNBT94I82S8V,LettersDice,25,Male,Left,College,"BFGP, AUIE, RNDC",5,6,4,0.6,0.1,0.3,0.15,0.15,0.15,0.15,Non-Solver,0.15000000000000002,-0.2333333333333333,0.10810810810810813,0.031296296296296294,-0.033333333333333326,0.2,0.2614209320091673,0.16333333333333333,0.3
A1V2H0UF94ATWY,LettersDice,59,Male,Right,High School/GED,"BNPR, ACDF, EIUG",7,6,6,0.75,0.05,0.05,0.05,0.05,0.75,0.05,Solver,0.12222222222222222,-0.31666666666666665,0.07741935483870968,0.026574074074074076,0.16666666666666666,-0.05384615384615399,0.16995690249952666,0.4466666666666666,0.75
A16HSMUJ7C7QA7,LettersDice,65,Female,Left,High School/GED,"BFRP, AUIE, GNDC",2,10,8,0.1,0.25,0.15,0.15,0.15,0.15,0.15,Non-Solver,0.09999999999999998,0.016666666666666663,0.030769230769230767,0.01879629629629629,-0.3333333333333333,-0.2125,0.16559417811789726,0.06833333333333333,0.25
A30RAYNDOWQ61S,LettersDice,57,Male,Right,High School/GED,"ANPR, BCDF, EIUG",1,10,10,0.1,0.15,0.15,0.15,0.15,0.15,0.25,Non-Solver,0.13333333333333333,-0.11666666666666667,0.0,0.02324074074074074,-0.43333333333333335,-0.17500000000000002,0.198922121356904,0.12833333333333335,0.25
AVJUIF9QHQRY8,LettersDice,35,Female,Right,College,"BFRP, AUIE, GNDC",3,4,5,0.4,0.4,0.1,0.25,0.05,0.1,0.1,Non-Solver,0.1388888888888889,-0.13333333333333336,0.043478260869565216,0.032685185185185185,-0.2333333333333333,-0.1125,0.25654761904761897,0.21833333333333332,0.4
