Problem,Worker ID,Age,Gender,Strong hand,Education,Answer,Confidence,Psolve,1 second,1000 seconds,1 minute,1000 minutes,1 hour,1000 hours,2000 hours,1000000 hours,Infinity,There is no way to know without additional information,Class
CR_Conf,A12OZ7P7Z41SJI,56,Male,Right,College,2000 hours,6,21-30%,0-10%,0-10%,0-10%,11-20%,21-30%,31-40%,51-60%,31-40%,51-60%,51-60%,Non-Solver
CR_Conf,A12QBCR0PBFKTI,25,Male,Right,Graduate Degree,1 minute,9,21-30%,71-80%,61-70%,71-80%,61-70%,81-90%,61-70%,71-80%,61-70%,61-70%,71-80%,Non-Solver
CR_Conf,A12ROA2Z37KYJ9,35,Female,Right,Graduate Degree,There is no way to know without additional information,10,31-40%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,61-70%,0-10%,0-10%,21-30%,Non-Solver
CR_Conf,A12VXVR5FPANU0,25,Male,Right,Graduate Degree,1000000 hours,8,51-60%,0-10%,0-10%,31-40%,61-70%,31-40%,41-50%,21-30%,51-60%,0-10%,11-20%,Non-Solver
CR_Conf,A133DIQVVZRVPO,29,Male,Right,Graduate Degree,1000000 hours,6,21-30%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,31-40%,31-40%,21-30%,Non-Solver
CR_Conf,A133QG754CGS3I,39,Male,Left,College,1000 hours,7,11-20%,0-10%,0-10%,0-10%,41-50%,41-50%,61-70%,61-70%,41-50%,41-50%,0-10%,Non-Solver
CR_Conf,A13697DQL6XG9D,19,Female,Right,High School/GED,There is no way to know without additional information,8,11-20%,0-10%,0-10%,0-10%,11-20%,11-20%,11-20%,11-20%,11-20%,31-40%,21-30%,Non-Solver
CR_Conf,A13FUEPWBCLBUY,35,Male,Right,Graduate Degree,There is no way to know without additional information,8,11-20%,0-10%,0-10%,0-10%,21-30%,41-50%,61-70%,31-40%,0-10%,11-20%,11-20%,Non-Solver
CR_Conf,A13GUTDMGGZZDL,32,Male,Right,College,1000 hours,3,21-30%,0-10%,0-10%,0-10%,0-10%,11-20%,21-30%,21-30%,21-30%,11-20%,11-20%,Non-Solver
CR_Conf,A13OHDWN9XSCIG,43,Female,Right,College,Infinity,8,11-20%,0-10%,0-10%,0-10%,0-10%,11-20%,11-20%,0-10%,0-10%,11-20%,0-10%,Non-Solver
CR_Conf,A13USF28TRFLKR,32,Male,Right,Graduate Degree,Infinity,7,11-20%,0-10%,11-20%,0-10%,11-20%,21-30%,0-10%,0-10%,0-10%,21-30%,21-30%,Non-Solver
CR_Conf,A13ZQUB0RP52KP,23,Male,Right,Graduate Degree,1 hour,8,41-50%,0-10%,0-10%,0-10%,0-10%,21-30%,0-10%,0-10%,0-10%,0-10%,0-10%,Solver
CR_Conf,A141N2XGQXKPME,39,Male,Right,College,There is no way to know without additional information,7,11-20%,21-30%,31-40%,41-50%,31-40%,51-60%,21-30%,61-70%,31-40%,0-10%,0-10%,Non-Solver
CR_Conf,A142YXBC1LK7HP,38,Female,Right,High School/GED,Infinity,2,0-10%,31-40%,21-30%,11-20%,0-10%,0-10%,0-10%,0-10%,0-10%,41-50%,61-70%,Non-Solver
CR_Conf,A143XRCI1YXAFE,26,Male,Right,College,There is no way to know without additional information,10,21-30%,0-10%,0-10%,11-20%,21-30%,11-20%,11-20%,11-20%,11-20%,11-20%,21-30%,Non-Solver
CR_Conf,A147F5PJTHOB8A,42,Male,Right,High School/GED,1000 hours,4,11-20%,0-10%,0-10%,21-30%,11-20%,31-40%,31-40%,21-30%,11-20%,51-60%,31-40%,Non-Solver
CR_Conf,A14ADQ7RUN6TDY,70,Male,Right,College,Infinity,9,21-30%,0-10%,0-10%,21-30%,31-40%,31-40%,0-10%,0-10%,0-10%,31-40%,31-40%,Non-Solver
CR_Conf,A14F0CMEHST22B,36,Female,Right,College,There is no way to know without additional information,8,31-40%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,91-100%,Non-Solver
CR_Conf,A14XECI3XLI39H,30,Male,Right,Graduate Degree,1 hour,5,21-30%,0-10%,0-10%,0-10%,11-20%,21-30%,11-20%,0-10%,0-10%,11-20%,0-10%,Solver
CR_Conf,A15340BRCER2UO,39,Male,Right,Graduate Degree,1 minute,3,0-10%,11-20%,21-30%,11-20%,11-20%,21-30%,21-30%,21-30%,21-30%,21-30%,21-30%,Non-Solver
CR_Conf,A155JNJQ69WMDI,44,Male,Right,College,1000 hours,3,11-20%,0-10%,0-10%,0-10%,0-10%,0-10%,31-40%,11-20%,0-10%,0-10%,41-50%,Non-Solver
CR_Conf,A15781PHGW377Y,63,Male,Right,High School/GED,Infinity,9,31-40%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,31-40%,11-20%,Non-Solver
CR_Conf,A15F2JTVAJXITI,40,Female,Right,Graduate Degree,1000 hours,1,0-10%,0-10%,11-20%,21-30%,21-30%,21-30%,21-30%,0-10%,0-10%,0-10%,0-10%,Non-Solver
CR_Conf,A15H0ZSFQPZWAV,32,Female,Left,Graduate Degree,1000 hours,5,51-60%,21-30%,31-40%,41-50%,51-60%,61-70%,71-80%,61-70%,51-60%,31-40%,21-30%,Non-Solver
CR_Conf,A15H0ZSFQPZWAV,27,Female,Left,Graduate Degree,1000 hours,5,41-50%,0-10%,0-10%,31-40%,41-50%,51-60%,61-70%,51-60%,41-50%,21-30%,41-50%,Non-Solver
CR_Conf,A15X0MSBZ74TFT,49,Female,Right,High School/GED,1 hour,1,0-10%,0-10%,0-10%,0-10%,11-20%,11-20%,11-20%,11-20%,11-20%,11-20%,11-20%,Solver
CR_Conf,A1601UNFFAAQOI,33,Female,Right,College,Infinity,2,11-20%,0-10%,0-10%,0-10%,11-20%,21-30%,21-30%,11-20%,0-10%,11-20%,11-20%,Non-Solver
CR_Conf,A160X70DIV96VM,56,Female,Right,High School/GED,There is no way to know without additional information,7,21-30%,0-10%,0-10%,0-10%,21-30%,21-30%,11-20%,0-10%,0-10%,21-30%,41-50%,Non-Solver
CR_Conf,A161AJDHLJVCLZ,31,Female,Right,Graduate Degree,1000 hours,5,31-40%,11-20%,11-20%,11-20%,31-40%,41-50%,51-60%,31-40%,11-20%,11-20%,11-20%,Non-Solver
CR_Conf,A163L8D1BG5UIT,26,Female,Right,Graduate Degree,1 hour,3,11-20%,0-10%,11-20%,21-30%,31-40%,41-50%,51-60%,61-70%,0-10%,0-10%,0-10%,Solver
CR_Conf,A165C3ME31OA81,68,Female,Right,High School/GED,Infinity,8,11-20%,0-10%,21-30%,11-20%,31-40%,11-20%,41-50%,0-10%,0-10%,11-20%,11-20%,Non-Solver
CR_Conf,A167SYXGXFU7C8,63,Female,Right,College,Infinity,7,21-30%,0-10%,11-20%,21-30%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,Non-Solver
CR_Conf,A16HSMUJ7C7QA7,64,Female,Both hands are equally strong,High School/GED,Infinity,1,31-40%,0-10%,0-10%,0-10%,11-20%,0-10%,11-20%,21-30%,0-10%,11-20%,21-30%,Non-Solver
CR_Conf,A16PLYF8XISLFX,31,Female,Right,High School/GED,1000000 hours,6,11-20%,0-10%,0-10%,0-10%,11-20%,0-10%,0-10%,0-10%,51-60%,11-20%,11-20%,Non-Solver
CR_Conf,A16QTKULP8HQ6G,34,Male,Right,College,Infinity,10,61-70%,0-10%,0-10%,41-50%,11-20%,0-10%,0-10%,0-10%,0-10%,31-40%,0-10%,Non-Solver
CR_Conf,A16ZYJOZVLCJEP,40,Male,Right,Graduate Degree,1 hour,8,41-50%,0-10%,0-10%,0-10%,21-30%,41-50%,0-10%,0-10%,0-10%,0-10%,0-10%,Solver
CR_Conf,A170TMW2VVJS7U,29,Male,Left,Graduate Degree,1000 hours,3,21-30%,0-10%,0-10%,0-10%,0-10%,11-20%,21-30%,0-10%,0-10%,0-10%,11-20%,Non-Solver
CR_Conf,A174UGURZYYCWC,30,Female,Right,College,1 hour,8,71-80%,0-10%,0-10%,0-10%,11-20%,71-80%,0-10%,0-10%,0-10%,0-10%,0-10%,Solver
CR_Conf,A175PJR0W3LO8I,36,Male,Right,College,There is no way to know without additional information,4,21-30%,0-10%,0-10%,0-10%,11-20%,11-20%,11-20%,11-20%,0-10%,21-30%,21-30%,Non-Solver
CR_Conf,A17OSPGV41FZ7P,33,Female,Right,Less than High School,1000 hours,7,21-30%,11-20%,11-20%,11-20%,11-20%,11-20%,11-20%,11-20%,11-20%,11-20%,91-100%,Non-Solver
CR_Conf,A17SWXSZOWCC3M,33,Female,Right,College,1 hour,3,21-30%,0-10%,0-10%,51-60%,41-50%,41-50%,31-40%,21-30%,21-30%,21-30%,11-20%,Solver
CR_Conf,A17U82YPDOT3CW,48,Male,Right,Graduate Degree,1 minute,5,41-50%,0-10%,21-30%,31-40%,21-30%,31-40%,31-40%,31-40%,11-20%,0-10%,21-30%,Non-Solver
CR_Conf,A188SHJZPHE8BA,32,Male,Right,College,1 hour,1,11-20%,0-10%,0-10%,0-10%,0-10%,21-30%,0-10%,0-10%,0-10%,31-40%,21-30%,Solver
CR_Conf,A18E16UFE351U6,35,Female,Right,High School/GED,1000 hours,7,21-30%,0-10%,0-10%,0-10%,11-20%,11-20%,41-50%,11-20%,0-10%,0-10%,0-10%,Non-Solver
CR_Conf,A18R0CMHYTNXD,32,Male,Right,Graduate Degree,1 hour,9,21-30%,0-10%,0-10%,0-10%,0-10%,21-30%,21-30%,0-10%,11-20%,31-40%,31-40%,Solver
CR_Conf,A191V7PT3DQKDP,34,Male,Right,College,There is no way to know without additional information,9,21-30%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,21-30%,31-40%,21-30%,Non-Solver
CR_Conf,A192MH226Q1NT4,24,Female,Right,College,Infinity,1,11-20%,0-10%,11-20%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,31-40%,31-40%,Non-Solver
CR_Conf,A194UMZESQE6BS,30,Male,Right,Graduate Degree,1 hour,7,41-50%,0-10%,21-30%,0-10%,31-40%,51-60%,41-50%,21-30%,31-40%,0-10%,61-70%,Solver
CR_Conf,A198MSVO1VTAT5,60,Female,Right,College,Infinity,10,81-90%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,81-90%,81-90%,Non-Solver
CR_Conf,A19OCD2Q0K2U6M,55,Male,Left,High School/GED,There is no way to know without additional information,10,91-100%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,81-90%,Non-Solver
CR_Conf,A19S8APZYIU1AC,40,Male,Right,Graduate Degree,1 minute,10,11-20%,71-80%,61-70%,81-90%,71-80%,61-70%,51-60%,61-70%,71-80%,81-90%,71-80%,Non-Solver
CR_Conf,A19WFIR31Z74EN,38,Male,Right,College,Infinity,2,0-10%,0-10%,0-10%,0-10%,21-30%,31-40%,41-50%,51-60%,61-70%,61-70%,21-30%,Non-Solver
CR_Conf,A1A1ZXUVSV4YR8,30,Female,Right,Graduate Degree,1 hour,3,0-10%,0-10%,0-10%,0-10%,11-20%,11-20%,11-20%,11-20%,0-10%,0-10%,0-10%,Solver
CR_Conf,A1A46CKE3F5JAJ,25,Female,Right,College,1 hour,4,11-20%,0-10%,0-10%,0-10%,21-30%,41-50%,21-30%,11-20%,11-20%,21-30%,41-50%,Solver
CR_Conf,A1AF25FCVKC87X,34,Male,Right,College,1000 hours,6,31-40%,0-10%,0-10%,0-10%,21-30%,31-40%,41-50%,21-30%,0-10%,21-30%,41-50%,Non-Solver
CR_Conf,A1AF48IBEYPQWI,33,Male,Right,College,1000 hours,6,0-10%,0-10%,11-20%,11-20%,11-20%,11-20%,11-20%,0-10%,0-10%,11-20%,11-20%,Non-Solver
CR_Conf,A1AHYAWHM0ML7H,31,Female,Right,College,There is no way to know without additional information,7,11-20%,0-10%,0-10%,0-10%,11-20%,0-10%,11-20%,11-20%,11-20%,11-20%,0-10%,Non-Solver
CR_Conf,A1AMJEHHQHPF1H,33,Male,Right,College,There is no way to know without additional information,1,21-30%,0-10%,0-10%,0-10%,11-20%,11-20%,31-40%,21-30%,21-30%,0-10%,0-10%,Non-Solver
CR_Conf,A1AWQVXK72J2N2,21,Male,Right,Graduate Degree,1000 minutes,9,31-40%,91-100%,81-90%,91-100%,81-90%,91-100%,81-90%,91-100%,81-90%,91-100%,81-90%,Non-Solver
CR_Conf,A1AYEE7ZPR16L,33,Male,Right,Graduate Degree,Infinity,9,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,Non-Solver
CR_Conf,A1AYFPD1RFW8P5,66,Female,Right,Graduate Degree,There is no way to know without additional information,10,51-60%,0-10%,0-10%,0-10%,0-10%,11-20%,0-10%,0-10%,0-10%,11-20%,41-50%,Non-Solver
CR_Conf,A1AYM6ORRTWOAF,50,Male,Right,College,1000 minutes,10,81-90%,81-90%,71-80%,81-90%,71-80%,81-90%,71-80%,81-90%,81-90%,61-70%,91-100%,Non-Solver
CR_Conf,A1AZTE5W2MF1TU,70,Female,Right,High School/GED,There is no way to know without additional information,10,11-20%,0-10%,0-10%,0-10%,0-10%,11-20%,31-40%,41-50%,31-40%,71-80%,81-90%,Non-Solver
CR_Conf,A1B5PTOTIGVHRS,46,Female,Right,College,Infinity,5,21-30%,0-10%,0-10%,0-10%,11-20%,11-20%,11-20%,11-20%,11-20%,31-40%,31-40%,Non-Solver
CR_Conf,A1B9H14AV44C0G,46,Female,Right,College,There is no way to know without additional information,1,11-20%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,Non-Solver
CR_Conf,A1BA5ZBERA3RWI,29,Female,Right,College,Infinity,9,0-10%,31-40%,11-20%,11-20%,11-20%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,Non-Solver
CR_Conf,A1BVG13MHBM1YD,40,Female,Left,High School/GED,1 hour,3,11-20%,0-10%,0-10%,11-20%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,Solver
CR_Conf,A1BZNPQ0H7ZSER,36,Male,Right,Graduate Degree,Infinity,7,11-20%,0-10%,0-10%,0-10%,11-20%,0-10%,21-30%,11-20%,21-30%,11-20%,11-20%,Non-Solver
CR_Conf,A1C1YCP428CQ7E,29,Male,Right,High School/GED,There is no way to know without additional information,6,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,11-20%,31-40%,51-60%,11-20%,Non-Solver
CR_Conf,A1C59M3HPCO503,24,Female,Right,High School/GED,2000 hours,3,21-30%,0-10%,0-10%,0-10%,0-10%,11-20%,21-30%,21-30%,11-20%,11-20%,11-20%,Non-Solver
CR_Conf,A1C7XI68SED8JE,36,Female,Left,College,Infinity,4,11-20%,0-10%,0-10%,0-10%,11-20%,0-10%,0-10%,21-30%,31-40%,21-30%,21-30%,Non-Solver
CR_Conf,A1CKP36D1MKIYW,41,Male,Right,Graduate Degree,Infinity,8,11-20%,0-10%,0-10%,0-10%,31-40%,0-10%,41-50%,51-60%,71-80%,21-30%,0-10%,Non-Solver
CR_Conf,A1CSH3P1MSSFWL,38,Female,Right,Graduate Degree,1000 minutes,9,31-40%,0-10%,0-10%,71-80%,81-90%,71-80%,81-90%,71-80%,71-80%,71-80%,81-90%,Non-Solver
CR_Conf,A1CSHXVJJ8BPHH,26,Male,Right,College,1000 seconds,6,61-70%,31-40%,41-50%,51-60%,41-50%,31-40%,61-70%,41-50%,41-50%,71-80%,81-90%,Non-Solver
CR_Conf,A1CUK9RG3RW1DY,51,Female,Right,High School/GED,There is no way to know without additional information,4,71-80%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,61-70%,Non-Solver
CR_Conf,A1DBE2OL84TBKB,26,Male,Right,College,2000 hours,7,21-30%,0-10%,0-10%,0-10%,0-10%,11-20%,11-20%,11-20%,21-30%,11-20%,11-20%,Non-Solver
CR_Conf,A1DDBGQDMZZ1VW,55,Male,Right,College,1 hour,6,21-30%,0-10%,0-10%,0-10%,31-40%,41-50%,11-20%,0-10%,0-10%,0-10%,11-20%,Solver
CR_Conf,A1DEWY831Z47BK,24,Male,Left,College,1 hour,6,21-30%,0-10%,0-10%,11-20%,11-20%,31-40%,31-40%,0-10%,0-10%,0-10%,0-10%,Solver
CR_Conf,A1DJWLP389N1S4,33,Male,Right,Graduate Degree,Infinity,10,31-40%,0-10%,0-10%,0-10%,21-30%,61-70%,61-70%,71-80%,71-80%,81-90%,81-90%,Non-Solver
CR_Conf,A1DMXEJGJY02E1,30,Female,Right,College,1 hour,3,11-20%,0-10%,0-10%,0-10%,11-20%,31-40%,11-20%,0-10%,0-10%,21-30%,31-40%,Solver
CR_Conf,A1DNJ17PE2RYJZ,66,Male,Right,Graduate Degree,2000 hours,6,11-20%,0-10%,0-10%,0-10%,0-10%,0-10%,21-30%,41-50%,0-10%,0-10%,11-20%,Non-Solver
CR_Conf,A1DOO1F46UBLYT,35,Female,Right,High School/GED,There is no way to know without additional information,3,11-20%,11-20%,31-40%,21-30%,21-30%,21-30%,11-20%,21-30%,41-50%,61-70%,51-60%,Non-Solver
CR_Conf,A1DS5O8MSI3ZH0,42,Male,Right,College,1000 minutes,2,11-20%,0-10%,11-20%,11-20%,31-40%,11-20%,21-30%,11-20%,0-10%,0-10%,21-30%,Non-Solver
CR_Conf,A1DUH3RLI00YQM,74,Male,Right,College,Infinity,6,11-20%,0-10%,11-20%,0-10%,21-30%,31-40%,0-10%,0-10%,0-10%,51-60%,41-50%,Non-Solver
CR_Conf,A1DUPOUC9RNU4L,57,Female,Right,High School/GED,Infinity,5,11-20%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,11-20%,11-20%,0-10%,0-10%,Non-Solver
CR_Conf,A1DVCUCOTAC0JQ,54,Male,Right,College,Infinity,8,31-40%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,31-40%,31-40%,Non-Solver
CR_Conf,A1E2T84AUMW6ZC,60,Female,Right,College,1000 minutes,2,0-10%,0-10%,0-10%,0-10%,21-30%,31-40%,31-40%,31-40%,0-10%,0-10%,61-70%,Non-Solver
CR_Conf,A1E6XN5C8S0X7W,30,Male,Right,College,1 minute,4,0-10%,11-20%,0-10%,11-20%,0-10%,11-20%,0-10%,0-10%,0-10%,11-20%,0-10%,Non-Solver
CR_Conf,A1E77HZO63E334,25,Male,Right,College,There is no way to know without additional information,9,21-30%,0-10%,0-10%,0-10%,11-20%,0-10%,11-20%,11-20%,0-10%,11-20%,11-20%,Non-Solver
CR_Conf,A1E8PIR82KIJEP,22,Female,Right,College,Infinity,9,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,Non-Solver
CR_Conf,A1EAR8424WFLGO,47,Female,Both hands are equally strong,Graduate Degree,1 hour,9,71-80%,31-40%,51-60%,61-70%,71-80%,81-90%,51-60%,71-80%,41-50%,0-10%,0-10%,Solver
CR_Conf,A1EH9BPKYXFBS5,51,Female,Right,Graduate Degree,2000 hours,4,21-30%,0-10%,0-10%,0-10%,11-20%,31-40%,11-20%,11-20%,0-10%,0-10%,0-10%,Non-Solver
CR_Conf,A1EN3FW93BSXQQ,25,Female,Right,College,1 hour,2,41-50%,0-10%,21-30%,31-40%,41-50%,41-50%,11-20%,11-20%,0-10%,0-10%,11-20%,Solver
CR_Conf,A1ETEW9WH37WDS,46,Female,Right,High School/GED,Infinity,8,31-40%,0-10%,0-10%,0-10%,0-10%,11-20%,11-20%,21-30%,41-50%,41-50%,81-90%,Non-Solver
CR_Conf,A1EXO9HRNQYHWC,21,Female,Right,Graduate Degree,1 minute,6,31-40%,0-10%,11-20%,21-30%,31-40%,41-50%,51-60%,61-70%,71-80%,81-90%,91-100%,Non-Solver
CR_Conf,A1F1BIPJR11LSR,33,Prefer not to say,Right,College,There is no way to know without additional information,4,21-30%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,21-30%,Non-Solver
CR_Conf,A1F1OZ54G177D8,45,Male,,College,Infinity,8,11-20%,0-10%,0-10%,11-20%,11-20%,61-70%,41-50%,21-30%,0-10%,31-40%,61-70%,Non-Solver
CR_Conf,A1F8O6BA8AZTRF,40,Female,Right,College,There is no way to know without additional information,6,11-20%,0-10%,0-10%,11-20%,0-10%,11-20%,11-20%,11-20%,11-20%,31-40%,41-50%,Non-Solver
CR_Conf,A1FGEK2Y0ZQEAM,44,Male,Right,College,1000 hours,6,31-40%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,0-10%,0-10%,0-10%,0-10%,Non-Solver
CR_Conf,A1FN0TLGQJOR3O,58,Male,Right,Graduate Degree,1 hour,7,51-60%,0-10%,11-20%,11-20%,0-10%,51-60%,0-10%,0-10%,0-10%,0-10%,21-30%,Solver
CR_Conf,A1FQGRDHTO68SY,24,Female,Both hands are equally strong,Graduate Degree,1 hour,9,81-90%,11-20%,11-20%,0-10%,0-10%,81-90%,0-10%,21-30%,11-20%,0-10%,0-10%,Solver
CR_Conf,A1FWP2MESHFZQG,27,Female,Both hands are equally strong,Graduate Degree,1000 minutes,5,21-30%,0-10%,51-60%,61-70%,21-30%,41-50%,51-60%,61-70%,31-40%,41-50%,31-40%,Non-Solver
CR_Conf,A1FY68KJTDNXFS,29,Male,Both hands are equally strong,Graduate Degree,1 hour,8,71-80%,0-10%,0-10%,61-70%,71-80%,61-70%,51-60%,51-60%,31-40%,11-20%,0-10%,Solver
CR_Conf,A1FYMTQ3YSEOQ9,28,Male,Right,College,2000 hours,3,11-20%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,21-30%,31-40%,41-50%,Non-Solver
CR_Conf,A1G187YBG0DVMQ,27,Male,Right,College,Infinity,7,31-40%,0-10%,0-10%,11-20%,0-10%,0-10%,0-10%,0-10%,0-10%,31-40%,0-10%,Non-Solver
CR_Conf,A1G5UODTVW13MM,40,Male,Right,High School/GED,There is no way to know without additional information,8,51-60%,0-10%,0-10%,0-10%,21-30%,0-10%,21-30%,21-30%,11-20%,0-10%,31-40%,Non-Solver
CR_Conf,A1GD7ISOXO1XFZ,64,Male,Right,Graduate Degree,There is no way to know without additional information,4,11-20%,0-10%,0-10%,0-10%,11-20%,0-10%,41-50%,21-30%,11-20%,0-10%,61-70%,Non-Solver
CR_Conf,A1GKD3NG1NNHRP,59,Female,Left,College,Infinity,1,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,11-20%,11-20%,11-20%,Non-Solver
CR_Conf,A1GL4CFP7ZW55X,38,Male,Right,College,1000 minutes,8,0-10%,11-20%,21-30%,21-30%,21-30%,21-30%,21-30%,21-30%,11-20%,21-30%,21-30%,Non-Solver
CR_Conf,A1GOI5NKPQJ591,28,Female,Right,College,Infinity,8,61-70%,11-20%,21-30%,31-40%,41-50%,51-60%,61-70%,71-80%,81-90%,91-100%,91-100%,Non-Solver
CR_Conf,A1GUGCOS9HM63C,27,Male,Right,Graduate Degree,1000 minutes,9,71-80%,71-80%,61-70%,71-80%,81-90%,71-80%,61-70%,81-90%,71-80%,81-90%,71-80%,Non-Solver
CR_Conf,A1GV0URJLXH6J8,56,Male,Right,College,1 hour,7,21-30%,51-60%,41-50%,31-40%,51-60%,51-60%,41-50%,51-60%,61-70%,51-60%,51-60%,Solver
CR_Conf,A1H1TKK54YG94Q,43,Male,Right,College,1000 hours,3,11-20%,0-10%,0-10%,0-10%,11-20%,11-20%,11-20%,21-30%,21-30%,11-20%,0-10%,Non-Solver
CR_Conf,A1H72Y9Z5NJXDS,39,Female,Right,High School/GED,2000 hours,4,11-20%,0-10%,0-10%,0-10%,0-10%,11-20%,11-20%,11-20%,0-10%,0-10%,0-10%,Non-Solver
CR_Conf,A1H95YJACRLB53,28,Male,Right,Graduate Degree,1000 minutes,6,31-40%,41-50%,51-60%,31-40%,41-50%,41-50%,51-60%,41-50%,31-40%,41-50%,31-40%,Non-Solver
CR_Conf,A1HH3ZNP1JP6KP,43,Female,Right,Graduate Degree,Infinity,8,21-30%,0-10%,0-10%,0-10%,0-10%,11-20%,21-30%,21-30%,31-40%,41-50%,51-60%,Non-Solver
CR_Conf,A1HJ8WQ4SEKGTP,33,Female,Right,College,1 hour,1,0-10%,0-10%,11-20%,21-30%,31-40%,41-50%,81-90%,61-70%,51-60%,81-90%,91-100%,Solver
CR_Conf,A1HKB73TUJ5Z42,50,Female,Right,Graduate Degree,Infinity,5,21-30%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,0-10%,41-50%,11-20%,Non-Solver
CR_Conf,A1HKCTDOTL6C9I,43,Male,Right,College,Infinity,8,51-60%,0-10%,0-10%,0-10%,11-20%,0-10%,11-20%,11-20%,0-10%,31-40%,41-50%,Non-Solver
CR_Conf,A1HM9FS1R9YM7Y,56,Male,Right,Graduate Degree,1000 minutes,8,31-40%,0-10%,0-10%,0-10%,71-80%,31-40%,81-90%,51-60%,21-30%,41-50%,11-20%,Non-Solver
