Problem,Worker ID,Age,Gender,Strong hand,Education,Answer,Confidence,Psolve,ABC,ACB,BCA,BAC,CAB,CBA,Class
Pills,A12DY4HHG6MYF0,26,Male,Right,College,ABC,10,71-80%,71-80%,21-30%,31-40%,51-60%,41-50%,61-70%,Non-Solver
Pills,A2DM5XGRO22AO9,33,Male,Right,Graduate Degree,ACB,6,11-20%,21-30%,41-50%,31-40%,41-50%,21-30%,41-50%,Solver
Pills,A2DVJ6OMVVYTC7,30,Male,Right,College,BCA,3,51-60%,11-20%,21-30%,21-30%,11-20%,31-40%,21-30%,Non-Solver
Pills,A1EZ1021PEAFQJ,28,Male,Right,Graduate Degree,BCA,8,61-70%,61-70%,51-60%,61-70%,71-80%,51-60%,61-70%,Non-Solver
Pills,A397QMUM40C4SH,25,Female,Right,High School/GED,ABC,6,21-30%,31-40%,51-60%,11-20%,21-30%,21-30%,51-60%,Non-Solver
Pills,A25JCKN3DMCYA0,23,Male,Left,College,ABC,10,31-40%,31-40%,11-20%,0-10%,0-10%,0-10%,0-10%,Non-Solver
Pills,A1QJ2VPPZG16EG,62,Female,Left,College,BAC,1,21-30%,21-30%,21-30%,21-30%,21-30%,21-30%,21-30%,Non-Solver
Pills,ABL3H3O3BI8ZD,29,Male,Right,College,BAC,7,31-40%,41-50%,41-50%,51-60%,41-50%,31-40%,31-40%,Non-Solver
Pills,AZCGSVDT79E6X,25,Male,Right,Less than High School,CAB,3,11-20%,11-20%,11-20%,11-20%,11-20%,11-20%,11-20%,Non-Solver
Pills,A6FE2ZQNFW12V,29,Female,Right,College,BAC,10,81-90%,11-20%,11-20%,21-30%,11-20%,51-60%,11-20%,Non-Solver
Pills,A1DS5O8MSI3ZH0,42,Male,Right,College,CAB,3,11-20%,21-30%,31-40%,11-20%,11-20%,21-30%,31-40%,Non-Solver
Pills,A3774HPOUKYTX7,36,Male,Right,College,BAC,7,41-50%,41-50%,51-60%,61-70%,71-80%,51-60%,61-70%,Non-Solver
Pills,A250FES5PFCGK9,36,Male,Right,Graduate Degree,ACB,5,41-50%,0-10%,41-50%,0-10%,0-10%,11-20%,21-30%,Solver
Pills,A26SF9CTNKKBYB,33,Male,Right,College,ACB,6,0-10%,41-50%,0-10%,0-10%,0-10%,0-10%,0-10%,Solver
Pills,A3W6T1WDYXMR3,25,Male,Right,High School/GED,ACB,8,61-70%,21-30%,51-60%,0-10%,0-10%,0-10%,0-10%,Solver
Pills,AOTCPS24JM5DQ,26,Male,Right,College,BAC,7,31-40%,51-60%,31-40%,31-40%,21-30%,61-70%,71-80%,Non-Solver
Pills,AIEKCWYZTS41V,33,Male,Right,High School/GED,ACB,8,41-50%,0-10%,41-50%,11-20%,11-20%,11-20%,11-20%,Solver
Pills,A12A5GVJX5RZC4,37,Male,Right,High School/GED,ABC,10,71-80%,71-80%,31-40%,11-20%,11-20%,11-20%,11-20%,Non-Solver
Pills,A2KYOM2ZGYDJGT,37,Male,Right,College,ABC,4,31-40%,51-60%,11-20%,11-20%,11-20%,11-20%,11-20%,Non-Solver
Pills,AR9U4CJEF2TIJ,29,Male,Right,Graduate Degree,ACB,7,31-40%,41-50%,51-60%,51-60%,61-70%,41-50%,31-40%,Solver
Pills,A258MR1IS96JEP,35,Male,Left,High School/GED,ACB,1,0-10%,21-30%,21-30%,21-30%,21-30%,21-30%,21-30%,Solver
Pills,A2XQ3P6M9NZNYB,30,Male,Right,College,ABC,3,51-60%,21-30%,61-70%,51-60%,31-40%,41-50%,61-70%,Non-Solver
Pills,A3CWEIEY3TGJFX,43,Male,Right,College,ACB,7,71-80%,0-10%,61-70%,0-10%,0-10%,0-10%,0-10%,Solver
Pills,AURYD2FH3FUOQ,57,Female,Right,College,ACB,10,41-50%,0-10%,41-50%,0-10%,0-10%,0-10%,0-10%,Solver
Pills,A1IV1O890FN1QA,28,Female,Right,College,ACB,10,91-100%,71-80%,81-90%,71-80%,71-80%,81-90%,81-90%,Solver
Pills,A1I1OKH7O2QMD1,29,Male,Right,College,BAC,8,31-40%,61-70%,51-60%,51-60%,31-40%,71-80%,61-70%,Non-Solver
Pills,A1JGAS94S72D26,23,Male,Right,College,ACB,6,21-30%,21-30%,11-20%,31-40%,11-20%,0-10%,0-10%,Solver
Pills,A1JWHMZP93XXVY,34,Female,Right,Graduate Degree,ACB,5,11-20%,11-20%,0-10%,11-20%,11-20%,11-20%,11-20%,Solver
Pills,ACGZDI611LU0I,34,Male,Right,Graduate Degree,ABC,9,31-40%,31-40%,31-40%,11-20%,11-20%,0-10%,0-10%,Non-Solver
Pills,A32U64W0S9PUA3,24,Male,Right,College,CAB,6,21-30%,31-40%,31-40%,31-40%,31-40%,31-40%,31-40%,Non-Solver
Pills,A19L8SNH73AX1Z,55,Female,Both hands are equally strong,High School/GED,ABC,5,21-30%,0-10%,21-30%,0-10%,11-20%,11-20%,0-10%,Non-Solver
Pills,A2YGAEODJ5SSF6,42,Male,Right,High School/GED,ACB,3,21-30%,31-40%,21-30%,21-30%,11-20%,0-10%,21-30%,Solver
Pills,A10BY3JE3Q69TE,41,Male,Right,College,BCA,8,21-30%,51-60%,41-50%,51-60%,41-50%,51-60%,51-60%,Non-Solver
Pills,A2XQ3CFB5HT2ZQ,56,Female,Right,College,ACB,3,11-20%,11-20%,51-60%,21-30%,0-10%,31-40%,41-50%,Solver
Pills,A27HVVLSZZ13XK,48,Male,Right,High School/GED,ACB,7,51-60%,11-20%,61-70%,0-10%,0-10%,0-10%,0-10%,Solver
Pills,A3MYPYBVHX7FQ2,48,Male,Both hands are equally strong,College,CBA,10,51-60%,21-30%,21-30%,0-10%,0-10%,31-40%,0-10%,Non-Solver
Pills,A3OB6REG5CGHK1,57,Male,Right,College,ACB,7,11-20%,11-20%,11-20%,11-20%,11-20%,11-20%,11-20%,Solver
Pills,A1V595KBP0VLEO,28,Male,Right,College,BAC,6,41-50%,41-50%,51-60%,41-50%,61-70%,51-60%,41-50%,Non-Solver
Pills,A5V3P23WEJLOV,28,Male,Right,College,BCA,9,51-60%,61-70%,71-80%,61-70%,51-60%,71-80%,61-70%,Non-Solver
Pills,A10MQ5029FTEDI,49,Male,Right,College,BAC,9,71-80%,71-80%,61-70%,81-90%,81-90%,71-80%,61-70%,Non-Solver
Pills,A3LNM77PCQOTHJ,34,Male,Right,High School/GED,CAB,8,31-40%,11-20%,11-20%,11-20%,11-20%,41-50%,11-20%,Non-Solver
Pills,ATWAJESPOXKOF,29,Female,Right,Graduate Degree,ABC,9,31-40%,71-80%,61-70%,41-50%,51-60%,31-40%,31-40%,Non-Solver
Pills,AHIJACUG7ZL9B,29,Male,Right,High School/GED,BAC,3,11-20%,11-20%,11-20%,11-20%,11-20%,11-20%,0-10%,Non-Solver
Pills,A3MWDD6PZZ9SM3,25,Male,Right,College,BAC,8,21-30%,61-70%,51-60%,41-50%,41-50%,51-60%,41-50%,Non-Solver
Pills,A110KENBXU7SUJ,46,Male,Both hands are equally strong,High School/GED,ABC,7,51-60%,21-30%,0-10%,0-10%,11-20%,0-10%,11-20%,Non-Solver
Pills,A2VFEDAK5C1E1O,38,Male,Right,High School/GED,ACB,10,41-50%,0-10%,41-50%,0-10%,0-10%,0-10%,0-10%,Solver
Pills,A1NTZ2XCWWT6E5,35,Female,Right,College,ACB,8,61-70%,0-10%,21-30%,11-20%,0-10%,41-50%,21-30%,Solver
Pills,AFLEU7YLJ3MMF,42,Male,Right,Graduate Degree,ACB,8,21-30%,51-60%,31-40%,61-70%,71-80%,61-70%,51-60%,Solver
Pills,A3P4253DFNPWIB,28,Male,Right,College,ABC,5,61-70%,31-40%,11-20%,0-10%,11-20%,11-20%,0-10%,Non-Solver
Pills,A27NBGO9FXJS8Q,31,Male,Right,College,CAB,6,11-20%,0-10%,71-80%,41-50%,61-70%,31-40%,21-30%,Non-Solver
Pills,A30VLAIIJIG5IS,53,Male,Right,Graduate Degree,CBA,4,61-70%,11-20%,0-10%,11-20%,0-10%,0-10%,31-40%,Non-Solver
Pills,APRZ7BR8C0ZMQ,55,Male,Right,College,ABC,3,31-40%,51-60%,41-50%,31-40%,31-40%,21-30%,31-40%,Non-Solver
Pills,A2YP22IYWPZWR0,29,Male,Right,College,BAC,3,21-30%,11-20%,31-40%,21-30%,0-10%,11-20%,0-10%,Non-Solver
Pills,A3RI0ZY01U4UHF,25,Female,Right,College,ACB,7,11-20%,51-60%,61-70%,51-60%,71-80%,61-70%,61-70%,Solver
Pills,A3908297ZI3LES,57,Female,Right,High School/GED,ABC,6,51-60%,51-60%,41-50%,21-30%,31-40%,11-20%,0-10%,Non-Solver
Pills,A3A9PARKHSKRWI,41,Male,Right,Graduate Degree,BAC,8,21-30%,11-20%,31-40%,31-40%,41-50%,41-50%,61-70%,Non-Solver
Pills,A2SB9HU5RD9QCP,29,Male,Right,College,ACB,7,21-30%,11-20%,21-30%,0-10%,11-20%,0-10%,0-10%,Solver
Pills,AZ79FR04OLJX8,66,Female,Right,College,ABC,3,11-20%,11-20%,11-20%,11-20%,0-10%,11-20%,11-20%,Non-Solver
Pills,AFXUY512E31AP,37,Male,Right,Graduate Degree,BAC,10,71-80%,81-90%,71-80%,71-80%,81-90%,71-80%,81-90%,Non-Solver
Pills,A14SEFVPXYZ9TN,26,Male,Right,High School/GED,ACB,5,21-30%,11-20%,61-70%,11-20%,0-10%,0-10%,0-10%,Solver
Pills,A3J55BJGV95JKH,45,Female,Right,College,ACB,10,91-100%,0-10%,81-90%,0-10%,0-10%,0-10%,0-10%,Solver
Pills,A12GJUCS7AJ4K,33,Male,Left,High School/GED,BAC,4,21-30%,41-50%,11-20%,11-20%,21-30%,11-20%,11-20%,Non-Solver
Pills,A2DHLRV1OE925A,28,Male,Right,College,ABC,7,51-60%,51-60%,61-70%,61-70%,51-60%,51-60%,61-70%,Non-Solver
Pills,A1VOHR7TYJPT0R,36,Female,Right,College,ACB,7,21-30%,21-30%,21-30%,0-10%,0-10%,0-10%,0-10%,Solver
Pills,A1C5H6OY3HGO4U,36,Male,Right,Graduate Degree,ACB,5,31-40%,11-20%,21-30%,31-40%,31-40%,11-20%,11-20%,Solver
Pills,A27OFZ8AKEIQ0K,35,Female,Right,College,ABC,8,61-70%,41-50%,51-60%,31-40%,41-50%,31-40%,41-50%,Non-Solver
Pills,A3HMDGRGC5JB7E,33,Female,Right,College,BCA,2,21-30%,31-40%,11-20%,0-10%,21-30%,41-50%,51-60%,Non-Solver
Pills,A18ILYDB04VEE9,26,Female,Right,Graduate Degree,ABC,8,41-50%,61-70%,51-60%,51-60%,31-40%,51-60%,41-50%,Non-Solver
Pills,A2LR1HKNOVDTJ8,49,Male,Left,College,BAC,1,11-20%,11-20%,11-20%,11-20%,11-20%,11-20%,11-20%,Non-Solver
Pills,A28AX4H70DPKKK,30,Male,Right,High School/GED,BAC,10,91-100%,0-10%,0-10%,0-10%,81-90%,0-10%,0-10%,Non-Solver
Pills,A377LTGWJKY2IW,50,Female,Right,High School/GED,ABC,1,0-10%,0-10%,11-20%,21-30%,0-10%,11-20%,0-10%,Non-Solver
Pills,A39VDI1CVOMMIN,21,Male,Right,College,ACB,8,41-50%,21-30%,11-20%,0-10%,0-10%,0-10%,0-10%,Solver
Pills,A2A6FH0F7LD9ND,55,Female,Right,High School/GED,BAC,9,21-30%,0-10%,0-10%,21-30%,21-30%,31-40%,0-10%,Non-Solver
Pills,A2YOVBJ9EXAI8W,33,Male,Right,High School/GED,ACB,7,31-40%,21-30%,31-40%,21-30%,0-10%,0-10%,0-10%,Solver
Pills,A3MFK5UEUG95M3,35,Male,Right,College,ACB,8,21-30%,11-20%,21-30%,11-20%,11-20%,0-10%,11-20%,Solver
Pills,A2WHC086WNUQNB,52,Female,Right,College,ACB,7,51-60%,41-50%,51-60%,21-30%,21-30%,21-30%,21-30%,Solver
Pills,A39ROW50DWRRKT,35,Male,Right,High School/GED,BAC,4,31-40%,11-20%,21-30%,21-30%,11-20%,21-30%,21-30%,Non-Solver
Pills,A2ZL5GAZK6S0H1,27,Male,Left,Graduate Degree,BCA,8,71-80%,11-20%,31-40%,31-40%,41-50%,51-60%,51-60%,Non-Solver
Pills,AA8PZKO9XGCKO,26,Female,Right,High School/GED,ACB,7,41-50%,0-10%,41-50%,0-10%,0-10%,0-10%,0-10%,Solver
Pills,A15F0IM3OS0NJG,32,Male,Right,Graduate Degree,BAC,8,31-40%,61-70%,41-50%,61-70%,51-60%,51-60%,71-80%,Non-Solver
Pills,A27CB6JIC5MZFR,29,Male,Right,College,ACB,6,21-30%,11-20%,21-30%,21-30%,11-20%,11-20%,0-10%,Solver
Pills,A2FE0I7W269C1C,37,Female,Right,High School/GED,CAB,3,21-30%,0-10%,0-10%,21-30%,11-20%,11-20%,0-10%,Non-Solver
Pills,A379F1RR5E3SVU,39,Male,Right,College,ACB,8,61-70%,0-10%,61-70%,0-10%,31-40%,0-10%,0-10%,Solver
Pills,A349KZN1TIW8XQ,29,Male,Right,Graduate Degree,BAC,9,81-90%,61-70%,41-50%,71-80%,61-70%,51-60%,41-50%,Non-Solver
Pills,A1LWWVCY9FPIAW,23,Male,Left,High School/GED,ACB,5,11-20%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,Solver
Pills,A2GNG7DWHQA6ZZ,33,Male,Right,College,ABC,6,31-40%,31-40%,0-10%,0-10%,21-30%,0-10%,0-10%,Non-Solver
Pills,A3T08B0RTD7PRH,30,Male,Right,College,ACB,7,51-60%,31-40%,51-60%,41-50%,21-30%,51-60%,51-60%,Solver
Pills,A3CXK1KSRGU27V,29,Male,Right,High School/GED,ABC,2,21-30%,21-30%,31-40%,11-20%,11-20%,31-40%,11-20%,Non-Solver
Pills,AA4KKLIU4C3NY,43,Male,Right,College,ACB,9,11-20%,21-30%,31-40%,21-30%,21-30%,31-40%,31-40%,Solver
Pills,A2MHPG30DV35JM,30,Female,Right,Graduate Degree,BAC,7,41-50%,41-50%,31-40%,11-20%,41-50%,21-30%,11-20%,Non-Solver
Pills,A8VFIXE5FL8C6,27,Female,Right,College,ACB,9,41-50%,11-20%,41-50%,11-20%,11-20%,11-20%,11-20%,Solver
Pills,A3RYI5HXC2MJLN,38,Male,Right,High School/GED,ABC,7,41-50%,51-100%,0-10%,11-20%,0-10%,0-10%,0-10%,Non-Solver
Pills,A36SM7QM8OK3H6,31,Female,Right,College,BAC,8,31-40%,11-20%,11-20%,11-20%,21-30%,11-20%,11-20%,Non-Solver
Pills,A320QA9HJFUOZO,32,Male,Right,College,CAB,3,21-30%,21-30%,11-20%,21-30%,11-20%,11-20%,11-20%,Non-Solver
Pills,A2FGDZX6Q0AFVM,21,Male,Left,High School/GED,ABC,5,21-30%,31-40%,0-10%,11-20%,11-20%,0-10%,0-10%,Non-Solver
Pills,A2N2GFB33ZMYGF,37,Male,Right,College,ACB,5,21-30%,11-20%,21-30%,11-20%,11-20%,21-30%,11-20%,Solver
Pills,A2EJ7U3TZAKROG,42,Male,Right,Graduate Degree,ACB,6,21-30%,0-10%,21-30%,11-20%,0-10%,11-20%,0-10%,Solver
Pills,A2PXJTMWGUE5DC,59,Female,Right,College,BCA,2,21-30%,0-10%,41-50%,11-20%,21-30%,31-40%,51-100%,Non-Solver
Pills,AL2J5M8WQIKMI,39,Male,Right,High School/GED,BCA,3,11-20%,11-20%,11-20%,11-20%,11-20%,11-20%,11-20%,Non-Solver
Pills,AJXUWIDZ3HTC6,35,Male,Right,College,BCA,6,11-20%,41-50%,31-40%,21-30%,41-50%,41-50%,31-40%,Non-Solver
Pills,A2WZ8ZEB00LYF7,27,Male,Right,High School/GED,ACB,5,31-40%,31-40%,21-30%,31-40%,21-30%,21-30%,41-50%,Solver
Pills,A48WNR6C4CI3J,35,Male,Right,High School/GED,BAC,1,11-20%,11-20%,11-20%,11-20%,11-20%,11-20%,11-20%,Non-Solver
Pills,A1PTH9KTRO06EG,24,Male,Right,College,ACB,10,41-50%,41-50%,51-100%,0-10%,0-10%,0-10%,0-10%,Solver
Pills,A1VAL7L9L79IN0,28,Male,Right,High School/GED,ACB,7,51-100%,11-20%,31-40%,0-10%,11-20%,11-20%,0-10%,Solver
Pills,A6ZAKE3FP8YKY,30,Male,Right,Graduate Degree,BAC,1,21-30%,31-40%,11-20%,11-20%,31-40%,11-20%,11-20%,Non-Solver
Pills,A31681CCEVDIH3,31,Female,Right,College,BCA,1,21-30%,0-10%,11-20%,21-30%,0-10%,11-20%,11-20%,Non-Solver
Pills,A2N825X4R5H7EK,30,Male,Right,College,ABC,9,51-100%,41-50%,31-40%,31-40%,41-50%,41-50%,31-40%,Non-Solver
Pills,A1CQ45RYFB2K5P,26,Female,Right,Graduate Degree,ABC,10,51-100%,51-100%,11-20%,0-10%,0-10%,0-10%,11-20%,Non-Solver
