Worker ID,Problem,Age,Gender,Strong hand,Education,Answer,Confidence,Subjective Difficulty,Objective Difficutly,Psolve,1 mile,2 miles,3 miles,4 miles,5 miles,6 miles,7 miles,8 miles,9 miles,10 miles,11 miles,12 miles,Class,EAAA,EAMA,arrogance,bs,cad,cadg,chisqr,ec,psma
8,ThreeRobots,26,Female,Right,College,7 miles,1,9,9,20 %,10 %,10 %,10 %,10 %,10 %,5 %,5 %,10 %,10 %,10 %,5 %,5 %,Non-Solver,0.08888888888888889,0.08333333333333333,0.0,0.015833333333333338,-0.3733333333333334,0.0,0.3798395721925135,0.006666666666666661,0.05
7,ThreeRobots,35,Female,Left,Graduate Degree,10 miles,10,8,9,25 %,0 %,0 %,0 %,5 %,10 %,10 %,5 %,10 %,5 %,40 %,5 %,10 %,Solver,0.04444444444444445,0.06666666666666665,0.1956521739130435,0.0033333333333333327,0.5266666666666666,0.2571428571428571,0.1850749250749251,0.13500000000000004,0.4
6,ThreeRobots,60,Male,Right,Graduate Degree,10 miles,10,2,5,60 %,0 %,0 %,0 %,0 %,25 %,15 %,0 %,0 %,0 %,60 %,0 %,0 %,Solver,0.05,-0.1333333333333333,0.14062500000000006,0.005694444444444444,0.5266666666666666,0.2571428571428571,0.19096638655462184,0.335,0.6
5,ThreeRobots,39,Female,Right,Graduate Degree,10 miles,4,5,8,60 %,0 %,0 %,10 %,0 %,10 %,10 %,0 %,0 %,5 %,60 %,5 %,0 %,Solver,0.03888888888888888,-0.1333333333333333,0.046875,0.00375,-0.07333333333333336,-0.3428571428571429,0.1407142857142857,0.335,0.6
4,ThreeRobots,62,Female,Right,Graduate Degree,10 miles,10,2,6,80 %,0 %,0 %,0 %,0 %,20 %,0 %,0 %,0 %,0 %,80 %,0 %,0 %,Solver,0.07222222222222223,-0.33333333333333337,0.10975609756097562,0.01388888888888889,0.5266666666666666,0.2571428571428571,0.2771929824561404,0.5350000000000001,0.8
3,ThreeRobots,29,Female,Right,Graduate Degree,7 miles,1,10,8,35 %,0 %,10 %,10 %,10 %,10 %,15 %,0 %,5 %,10 %,10 %,10 %,10 %,Non-Solver,0.08333333333333333,0.13333333333333333,0.0,0.015972222222222224,-0.3733333333333334,0.0,0.3841176470588236,-0.043333333333333335,0.0
2,ThreeRobots,28,Female,Right,Graduate Degree,6 miles,1,10,5,50 %,5 %,5 %,10 %,10 %,10 %,10 %,10 %,10 %,10 %,10 %,5 %,5 %,Non-Solver,0.07222222222222223,0.033333333333333326,0.0,0.013611111111111115,-0.3733333333333334,-0.2,0.2967226890756304,0.003333333333333341,0.1
1,ThreeRobots,33,Male,Right,Graduate Degree,10 miles,10,2,5,45 %,0 %,0 %,0 %,0 %,0 %,10 %,0 %,10 %,5 %,45 %,15 %,15 %,Solver,0.06944444444444446,0.016666666666666663,0.17821782178217824,0.007777777777777779,0.5266666666666666,0.2571428571428571,0.3875324675324676,0.18500000000000005,0.45
A2WHC086WNUQNB,ThreeRobots,53,Female,Right,College,5 miles,1,8,5,70 %,10 %,10 %,20 %,10 %,20 %,10 %,5 %,5 %,5 %,5 %,0 %,0 %,Non-Solver,0.0888888888888889,-0.1,0.0,0.019444444444444448,-0.3733333333333334,-0.06666666666666665,0.3693310990085184,0.10666666666666667,0.2
AMZV70TID53WY,ThreeRobots,26,Male,Right,College,7 miles,1,7,8,30 %,10 %,10 %,0 %,15 %,0 %,10 %,0 %,15 %,0 %,20 %,0 %,20 %,Non-Solver,0.10555555555555557,0.13333333333333333,0.0,0.01625,-0.3733333333333334,0.0,0.5134065934065934,-0.043333333333333335,0.0
A147F5PJTHOB8A,ThreeRobots,42,Male,Right,High School/GED,3 miles,1,10,8,10 %,15 %,20 %,10 %,20 %,15 %,5 %,5 %,5 %,5 %,0 %,0 %,0 %,Non-Solver,0.10555555555555557,-0.03333333333333334,0.0,0.026527777777777782,-0.3733333333333334,-0.29999999999999993,0.5145454545454546,0.018333333333333358,0.1
A1NZFJHVJ9CNTO,ThreeRobots,29,Male,Right,High School/GED,3 miles,7,5,5,70 %,0 %,0 %,75 %,0 %,0 %,0 %,0 %,0 %,10 %,5 %,10 %,0 %,Non-Solver,0.1416666666666667,-0.6833333333333333,0.07741935483870968,0.05875,0.22666666666666654,0.3,0.7372284397630021,0.6683333333333333,0.75
AO46MWFKLP3ZN,ThreeRobots,30,Male,Right,Graduate Degree,6 miles,5,1,4,40 %,10 %,10 %,10 %,5 %,5 %,10 %,10 %,10 %,5 %,5 %,10 %,10 %,Non-Solver,0.09166666666666667,0.033333333333333326,0.2105263157894737,0.01916666666666667,0.026666666666666616,0.2,0.4372964669738864,0.003333333333333341,0.1
A39YK8LJ8O37OY,ThreeRobots,33,Female,Right,Graduate Degree,4 miles,2,1,1,10 %,5 %,5 %,5 %,5 %,5 %,10 %,10 %,15 %,15 %,15 %,5 %,5 %,Non-Solver,0.07777777777777779,0.016666666666666663,0.06896551724137931,0.012638888888888887,-0.2733333333333334,-0.10000000000000003,0.3089037089037089,-0.0050000000000000105,0.05
AKF2CET7H6C5X,ThreeRobots,32,Male,Right,Graduate Degree,6 miles,5,5,6,75 %,5 %,5 %,5 %,5 %,5 %,15 %,10 %,15 %,10 %,10 %,10 %,5 %,Non-Solver,0.08055555555555556,-0.016666666666666663,0.17021276595744686,0.01527777777777778,0.026666666666666616,0.2,0.34887955182072833,0.05333333333333333,0.15
A53WVYONK6B9Q,ThreeRobots,26,Male,Right,High School/GED,4 miles,4,5,3,5 %,10 %,10 %,5 %,10 %,5 %,25 %,5 %,5 %,10 %,10 %,5 %,0 %,Non-Solver,0.0861111111111111,-0.03333333333333334,0.15789473684210525,0.01569444444444445,-0.07333333333333336,0.09999999999999998,0.3348442776320015,0.044999999999999984,0.1
AMELYCC59JKB0,ThreeRobots,37,Female,Right,College,10 miles,1,9,8,30 %,10 %,10 %,15 %,10 %,5 %,5 %,5 %,10 %,10 %,10 %,5 %,5 %,Solver,0.09722222222222222,0.3666666666666667,0.0,0.016527777777777784,-0.3733333333333334,-0.6428571428571429,0.4008652132181545,-0.16499999999999995,0.1
A8FCVU1TTDVL0,ThreeRobots,40,Female,Right,College,5 miles,3,7,8,20 %,0 %,0 %,0 %,0 %,50 %,0 %,0 %,0 %,0 %,0 %,0 %,50 %,Non-Solver,0.15,-0.4,0.03636363636363637,0.05611111111111111,-0.1733333333333334,0.13333333333333333,0.8333333333333333,0.4066666666666667,0.5
A198MSVO1VTAT5,ThreeRobots,60,Female,Right,College,10 miles,8,1,1,30 %,10 %,10 %,10 %,5 %,0 %,0 %,5 %,5 %,5 %,40 %,5 %,5 %,Solver,0.06666666666666668,0.06666666666666665,0.15217391304347827,0.005694444444444446,0.32666666666666666,0.05714285714285716,0.3193606393606394,0.13500000000000004,0.4
A2QUQ0S2F6K3QJ,ThreeRobots,63,Female,Right,High School/GED,5 miles,1,8,7,20 %,0 %,0 %,15 %,10 %,35 %,10 %,10 %,10 %,5 %,5 %,0 %,0 %,Non-Solver,0.08055555555555556,-0.25,0.0,0.021388888888888888,-0.3733333333333334,-0.06666666666666665,0.3132427429201623,0.25666666666666665,0.35
