Worker ID,Problem,Age,Gender,Strong hand,Education,Answer,Confidence,Subjective Difficulty,Objective Difficutly,Psolve,"BFRP, AUIE, GNDC","BFGP, AUIE, RNDC","AERP, BGCD, FUIN","CNRP, AGDS, EIOT","BNPR, ACDF, EIUG","ANPR, BCDF, EIUG",Class,EAAA,EAMA,arrogance,bs,cad,cadg,chisqr,ec,psma
8,LettersDice,26,Female,Right,College,"AERP, BGCD, FUIN",1,9,8,0.15,0.15,0.1,0.15,0.2,0.2,0.2,Non-Solver,0.15000000000000002,-0.04999999999999999,0.0,0.033240740740740744,-0.5666666666666668,-0.29999999999999993,0.2445962732919255,0.048333333333333325,0.15
7,LettersDice,35,Female,Left,Graduate Degree,"BNPR, ACDF, EIUG",10,2,5,0.5,0.1,0.1,0.1,0.1,0.5,0.1,Solver,0.06666666666666668,0.06666666666666665,0.16363636363636366,0.006296296296296296,0.3333333333333333,0.1470588235294118,0.09875000000000002,0.09499999999999996,0.5
6,LettersDice,60,Male,Right,Graduate Degree,"BNPR, ACDF, EIUG",10,2,3,0.6,0.05,0.05,0.1,0.1,0.6,0.1,Solver,0.06111111111111112,-0.033333333333333326,0.14062500000000006,0.007129629629629632,0.3333333333333333,0.1470588235294118,0.1047899159663866,0.19499999999999995,0.6
5,LettersDice,39,Female,Right,Graduate Degree,"BFRP, AUIE, GNDC",6,8,8,0.4,0.3,0.25,0.15,0.1,0.15,0.05,Non-Solver,0.1388888888888889,-0.06666666666666665,0.13513513513513514,0.04074074074074074,-0.06666666666666676,0.2,0.2602906976744185,0.12,0.3
4,LettersDice,62,Female,Right,Graduate Degree,"BNPR, ACDF, EIUG",10,4,6,0.8,0.0,0.0,0.0,0.2,0.8,0.0,Solver,0.12222222222222225,-0.2333333333333334,0.10975609756097562,0.02296296296296297,0.3333333333333333,0.1470588235294118,0.23658536585365855,0.395,0.8
3,LettersDice,29,Female,Right,Graduate Degree,"BFRP, AUIE, GNDC",1,2,3,0.3,0.2,0.2,0.1,0.1,0.2,0.2,Non-Solver,0.13333333333333333,0.033333333333333326,0.0,0.03407407407407407,-0.5666666666666668,-0.29999999999999993,0.25182035355948396,0.020000000000000014,0.2
2,LettersDice,28,Female,Right,Graduate Degree,"BNPR, ACDF, EIUG",10,3,2,0.75,0.05,0.05,0.05,0.05,0.75,0.05,Solver,0.08333333333333333,-0.18333333333333332,0.11612903225806452,0.012129629629629634,0.3333333333333333,0.1470588235294118,0.10826791476084106,0.345,0.75
1,LettersDice,33,Male,Right,Graduate Degree,"BNPR, ACDF, EIUG",10,3,4,0.75,0.05,0.05,0.05,0.05,0.75,0.05,Solver,0.08333333333333333,-0.18333333333333332,0.11612903225806452,0.012129629629629634,0.3333333333333333,0.1470588235294118,0.10826791476084106,0.345,0.75
A2WHC086WNUQNB,LettersDice,53,Female,Right,College,"AERP, BGCD, FUIN",1,10,10,0.1,0.2,0.2,0.2,0.2,0.1,0.1,Non-Solver,0.16666666666666666,-0.1,0.0,0.048518518518518516,-0.5666666666666668,-0.29999999999999993,0.3312820512820513,0.09833333333333334,0.2
AMZV70TID53WY,LettersDice,26,Male,Right,College,"BFRP, AUIE, GNDC",3,4,4,0.4,0.25,0.25,0.15,0.15,0.15,0.05,Non-Solver,0.1388888888888889,-0.016666666666666663,0.061538461538461535,0.04101851851851851,-0.3666666666666668,-0.09999999999999998,0.2691036950218987,0.07,0.25
A147F5PJTHOB8A,LettersDice,42,Male,Right,High School/GED,"BNPR, ACDF, EIUG",1,10,10,0.15,0.2,0.1,0.15,0.3,0.15,0.1,Solver,0.15,0.4166666666666666,0.0,0.04101851851851852,-0.5666666666666668,-0.7529411764705882,0.2683151731988941,-0.255,0.15
A1NZFJHVJ9CNTO,LettersDice,29,Male,Right,High School/GED,"BFRP, AUIE, GNDC",10,1,1,0.9,0.9,0.05,0.05,0.0,0.0,0.0,Non-Solver,0.2388888888888889,-0.6666666666666667,0.09890109890109892,0.12935185185185186,0.3333333333333333,0.6000000000000001,0.5627450980392158,0.72,0.9
AO46MWFKLP3ZN,LettersDice,30,Male,Right,Graduate Degree,"AERP, BGCD, FUIN",10,1,5,0.5,0.1,0.1,0.5,0.05,0.15,0.1,Non-Solver,0.18888888888888888,-0.4,0.16363636363636366,0.06101851851851853,0.3333333333333333,0.6000000000000001,0.3489811738648948,0.3983333333333333,0.5
A39YK8LJ8O37OY,LettersDice,33,Female,Right,Graduate Degree,"BFRP, AUIE, GNDC",2,1,1,0.1,0.05,0.05,0.05,0.2,0.35,0.3,Non-Solver,0.15,0.18333333333333332,0.06896551724137931,0.029074074074074075,-0.4666666666666667,-0.2,0.2582531194295901,-0.13,0.05
AKF2CET7H6C5X,LettersDice,32,Male,Right,Graduate Degree,"CNRP, AGDS, EIOT",1,7,4,0.75,0.15,0.15,0.1,0.35,0.15,0.1,Non-Solver,0.16666666666666666,-0.2833333333333333,0.0,0.047962962962962964,-0.5666666666666668,-0.15,0.3181820020222447,0.2533333333333333,0.35
A53WVYONK6B9Q,LettersDice,26,Male,Right,High School/GED,"CNRP, AGDS, EIOT",4,4,4,0.15,0.05,0.15,0.15,0.15,0.2,0.3,Non-Solver,0.18333333333333326,-0.08333333333333333,0.12765957446808512,0.04518518518518518,-0.2666666666666667,0.15000000000000002,0.3496871926027937,0.05333333333333333,0.15
AMELYCC59JKB0,LettersDice,37,Female,Right,College,"BFRP, AUIE, GNDC",3,8,4,0.45,0.25,0.2,0.1,0.15,0.15,0.15,Non-Solver,0.13888888888888887,-0.016666666666666663,0.061538461538461535,0.03907407407407408,-0.3666666666666668,-0.09999999999999998,0.27455824047644417,0.07,0.25
A8FCVU1TTDVL0,LettersDice,40,Female,Right,College,"BFRP, AUIE, GNDC",3,7,7,0.4,0.75,0.0,0.25,0.0,0.0,0.0,Non-Solver,0.2222222222222222,-0.5166666666666666,0.025806451612903226,0.10268518518518516,-0.3666666666666668,-0.09999999999999998,0.5012106537530266,0.5700000000000001,0.75
A198MSVO1VTAT5,LettersDice,60,Female,Right,College,"BNPR, ACDF, EIUG",8,1,1,0.9,0.05,0.0,0.0,0.0,0.9,0.05,Solver,0.11666666666666667,-0.33333333333333337,0.07692307692307693,0.02657407407407408,0.1333333333333333,-0.052941176470588165,0.182192513368984,0.495,0.9
A2QUQ0S2F6K3QJ,LettersDice,63,Female,Right,High School/GED,"BNPR, ACDF, EIUG",10,2,3,0.85,0.2,0.0,0.0,0.0,0.8,0.0,Solver,0.07777777777777779,-0.2333333333333334,0.10975609756097562,0.011851851851851856,0.3333333333333333,0.1470588235294118,0.12120075046904315,0.395,0.8
