Problem,Worker ID,Answer,box1,box2,box3,box4,box5,box6,Subjective Difficulty,Objective Difficutly,Class
SOKO2BOX,5T7W2L0rA,box1,0.6,0.2,0.2,0,0,0,7,7,Solver
SOKO2BOX,5W8p9y5xA,box5,0.05,0.3,0.05,0.05,0.5,0.05,5,5,Non-Solver
SOKO2BOX,5x3s1s5jA,box3,0.1,0.2,0.4,0.1,0.1,0.1,8,5,Non-Solver
SOKO2BOX,6d3H1k4TA,box2,0,0.7,0,0.3,0,0,9,7,Non-Solver
SOKO2BOX,6e1y2T7sA,box1,0.5,0.1,0.1,0.1,0.1,0.1,6,9,Solver
SOKO2BOX,6G4A6Q8dA,box3,0.2,0.1,0.6,0,0.05,0.05,10,8,Non-Solver
SOKO2BOX,6m1u7I8rA,box3,0,0.1,0.1,0.7,0.1,0,9,9,Non-Solver
SOKO2BOX,6w7f9W4lA,box1,0.7,0,0,0.3,0,0,10,10,Solver
SOKO2BOX,7a1c4m5yA,box1,0.75,0.1,0.1,0,0,0.05,8,7,Solver
SOKO2BOX,7h3i0l1TA,box1,1,0,0,0,0,0,6,9,Solver
SOKO2BOX,7I0Q5S9MA,box6,0,0.2,0,0,0,0.8,8,10,Non-Solver
SOKO2BOX,7V9r2o0wA,box1,0.75,0.05,0.2,0,0,0,9,9,Solver
SOKO2BOX,7y5Q0H9kA,box4,0,0.2,0,0.8,0,0,8,8,Non-Solver
SOKO2BOX,7z5I5J9uA,box2,0.1,0.7,0.1,0,0,0.1,7,6,Non-Solver
SOKO2BOX,8g1R6j5SA,box1,0.65,0.05,0.05,0.2,0,0.05,5,4,Solver
SOKO2BOX,8h8W3a2xA,box2,0,1,0,0,0,0,5,5,Non-Solver
SOKO2BOX,8I8L0H8FA,box2,0,0.5,0.5,0,0,0,7,5,Non-Solver
SOKO2BOX,8K2O8F0mA,box4,0,0,0.04,0,0,0,4,5,Non-Solver
SOKO2BOX,8N0d4c1CA,box2,0.2,0.2,0.2,0.1,0.1,0.2,7,7,Non-Solver
SOKO2BOX,8N2G3F4qA,box1,0.75,0.1,0.15,0,0,0,5,5,Solver
SOKO2BOX,8R0F4z2qA,box1,1,0,0,0,0,0,10,10,Solver
SOKO2BOX,8T8K5b4WA,box1,0,0.5,0.5,0,0,0,10,10,Solver
SOKO2BOX,9A5x2H4OA,box1,0.2,0.3,0.1,0.2,0.1,0.1,5,5,Solver
SOKO2BOX,9B6A4L4kA,box1,1,0,0,0,0,0,7,5,Solver
SOKO2BOX,9k7E9M9MA,box3,0,0.2,0.8,0,0,0,2,4,Non-Solver
SOKO2BOX,9l0Q7V6uA,box2,0.05,0.8,0.15,0,0,0,10,10,Non-Solver
SOKO2BOX,9t8H3y5nA,box5,0.2,0.1,0.1,0.25,0.25,0.1,5,5,Non-Solver
SOKO2BOX,9W6B0U8CA,box3,0.1,0.2,0.7,0,0,0,9,8,Non-Solver
SOKO2BOX,9W9O3l3hA,box2,0,1,0,0,0,0,7,7,Non-Solver
